Company name,Image path,Top-left coord,Bottom-Right coord,Cookies ?
Fresenius,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\fresenius.png,"(30, 922)","(254, 948)",True
Fubon,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\fubon.png,"(886, 988)","(1196, 1012)",True
Fujitsu,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\fujitsu.png,"(1092, 884)","(1237, 904)",True
Gd,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\gd.png,"(492, 998)","(1322, 1022)",True
Ge,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\ge.png,"(99, 1041)","(1261, 1059)",True
Generali,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\generali.png,"(67, 979)","(453, 999)",True
Gig,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\gig.png,-,-,False
Glencore,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\glencore.png,"(1587, 865)","(1812, 890)",True
Global-sei,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\global-sei.png,-,-,False
Global,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\global.png,"(711, 9)","(773, 25)",True
Gm,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\gm.png,-,-,False
Goldmansachs,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\goldmansachs.png,"(807, 179)","(1089, 197)",True
Gpc,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\gpc.png,-,-,False
Gree,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\gree.png,-,-,False
Group,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\group.png,-,-,False
Groupe-elo,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\groupe-elo.png,-,-,False
Groupebpce,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\groupebpce.png,"(852, 372)","(1052, 401)",True
Groupelaposte,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\groupelaposte.png,"(120, 898)","(1822, 924)",True
Grupoacs,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\grupoacs.png,-,-,False
Gscaltex,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\gscaltex.png,-,-,False
Gsk,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\gsk.png,"(286, 90)","(504, 120)",True
Hailiang,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\hailiang.png,-,-,False
Hanwhacorp,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\hanwhacorp.png,-,-,False
Hbisco,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\hbisco.png,-,-,False
Hcahealthcare,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\hcahealthcare.png,-,-,False
Hd,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\hd.png,-,-,False
Heraeus,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\heraeus.png,-,-,False
Hitachi,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\hitachi.png,"(345, 966)","(873, 985)",True
Holcim,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\holcim.png,"(663, 149)","(1229, 165)",True
Home,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\home.png,"(21, 893)","(311, 933)",True
Homedepot,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\homedepot.png,-,-,False
Honeywell,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\honeywell.png,-,-,False
Hp,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\hp.png,-,-,False
Hsbc,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\hsbc.png,"(569, 211)","(935, 255)",True
Huawei,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\huawei.png,"(563, 17)","(1165, 35)",True
Humana,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\humana.png,-,-,False
Iberdrola,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\iberdrola.png,"(481, 811)","(813, 829)",True
Ibm,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\ibm.png,"(33, 937)","(205, 953)",True
Icbc-ltd,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\icbc-ltd.png,-,-,False
Inditex,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\inditex.png,-,-,False
Ing,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\ing.png,-,-,False
Ingka,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\ingka.png,"(53, 789)","(349, 809)",True
Intel,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\intel.png,-,-,False
Investorab,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\investorab.png,"(635, 1029)","(953, 1047)",True
Investors,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\investors.png,-,-,False
Iocl,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\iocl.png,-,-,False
Itau,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\itau.png,-,-,False
Itochu,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\itochu.png,-,-,False
Japanpost,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\japanpost.png,-,-,False
Jardines,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\jardines.png,"(392, 928)","(1512, 959)",True
Jd,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\jd.png,-,-,False
Jfe-holdings,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\jfe-holdings.png,"(305, 988)","(586, 1016)",True
Jnj,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\jnj.png,"(971, 181)","(1083, 193)",True
Jpmorganchase,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\jpmorganchase.png,"(31, 1034)","(209, 1051)",True
Kddi,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\kddi.png,-,-,False
Kepco,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\kepco.png,-,-,False
Kia,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\kia.png,"(533, 443)","(773, 461)",True
Kuehne-nagel,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\kuehne-nagel.png,"(784, 356)","(934, 382)",True
Ldc,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\ldc.png,-,-,False
Ldjt,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\ldjt.png,-,-,False
Legalandgeneralgroup,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\legalandgeneralgroup.png,"(30, 948)","(282, 972)",True
Lenovo,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\lenovo.png,-,-,False
Lg,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\lg.png,"(180, 46)","(318, 72)",True
Lgchem,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\lgchem.png,-,-,False
Libertymutual,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\libertymutual.png,-,-,False
Licindia,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\licindia.png,-,-,False
Linde,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\linde.png,"(43, 919)","(179, 939)",True
Lloydsbankinggroup,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\lloydsbankinggroup.png,-,-,False
Lockheedmartin,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\lockheedmartin.png,"(493, 15)","(1179, 33)",True
Longfor,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\longfor.png,-,-,False
Loreal,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\loreal.png,"(661, 169)","(1023, 185)",True
Lowes,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\lowes.png,-,-,False
Lukoil,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\lukoil.png,-,-,False
Lyondellbasell,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\lyondellbasell.png,"(31, 999)","(1041, 1017)",True
Magna,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\magna.png,"(660, 146)","(802, 170)",True
Manulife,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\manulife.png,-,-,False
Marathonpetroleum,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\marathonpetroleum.png,-,-,False
Marubeni,C:\Users\thoma\Documents\Thesis_new\Thesis\Data acqusition\Screenshots\marubeni.png,-,-,False
