Name,Image-path,Result,Pattern list
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots_fortune_america/3m,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots_Fortune_america/3m.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots_fortune_america/53,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots_Fortune_america/53.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots_fortune_america/aa,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots_Fortune_america/aa.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots_fortune_america/abbott,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots_Fortune_america/abbott.png,True,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots_fortune_america/abbvie,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots_Fortune_america/abbvie.png,False,[]
