Company name,Image path,Top-left coord,Bottom-Right coord
Lamresearch,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\lamresearch.png,"(31, 1031)","(223, 1049)"
Landolakesinc,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\landolakesinc.png,"(504, 916)","(1086, 940)"
Lear,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\lear.png,"(451, 997)","(985, 1015)"
Leidos,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\leidos.png,"(159, 1013)","(1037, 1032)"
Lilly,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\lilly.png,"(703, 515)","(1281, 533)"
Lithia,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\lithia.png,"(241, 1013)","(361, 1031)"
Lkqcorp,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\lkqcorp.png,"(1097, 873)","(1235, 891)"
Lockheedmartin,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\lockheedmartin.png,"(493, 15)","(1175, 33)"
Lumen,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\lumen.png,"(121, 785)","(247, 801)"
Manpowergroup,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\manpowergroup.png,"(704, 248)","(1016, 274)"
Markel,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\markel.png,"(1145, 877)","(1349, 897)"
Marriott,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\marriott.png,"(115, 1001)","(641, 1019)"
Marsh,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\marsh.png,"(351, 893)","(533, 909)"
Mastercard,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\mastercard.png,"(637, 473)","(777, 489)"
Mcdonalds,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\mcdonalds.png,"(31, 999)","(535, 1015)"
Mckesson,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\mckesson.png,"(663, 149)","(943, 169)"
Merck,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\merck.png,"(511, 151)","(861, 165)"
Micron,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\micron.png,"(41, 783)","(225, 803)"
Microsoft,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\microsoft.png,"(143, 8)","(477, 27)"
Modernatx,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\modernatx.png,"(660, 458)","(920, 488)"
Molsoncoors,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\molsoncoors.png,"(770, 58)","(1136, 82)"
Mondelezinternational,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\mondelezinternational.png,"(31, 1013)","(1043, 1032)"
Mosaicco,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\mosaicco.png,"(22, 880)","(1352, 906)"
Motorolasolutions,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\motorolasolutions.png,"(550, 66)","(832, 92)"
Nationwide,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\nationwide.png,"(15, 957)","(935, 976)"
Netflix,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\netflix.png,"(263, 113)","(883, 129)"
Newellbrands,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\newellbrands.png,"(23, 915)","(805, 935)"
Nglenergypartners,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\nglenergypartners.png,"(489, 1040)","(1367, 1060)"
Nike,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\nike.png,"(736, 106)","(955, 146)"
Northropgrumman,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\northropgrumman.png,"(1265, 1029)","(1365, 1047)"
Northwesternmutual,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\northwesternmutual.png,"(31, 1013)","(1045, 1031)"
Nvidia,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\nvidia.png,"(319, 985)","(987, 1006)"
Onsemi,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\onsemi.png,"(1131, 267)","(1247, 281)"
Oracle,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\oracle.png,"(544, 48)","(922, 74)"
Oreillyauto,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\oreillyauto.png,"(11, 1039)","(971, 1057)"
Otis,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\otis.png,"(29, 23)","(203, 43)"
Oxy,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\oxy.png,"(105, 1035)","(1027, 1053)"
Paccar,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\paccar.png,"(389, 921)","(587, 939)"
Pacificlife,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\pacificlife.png,"(72, 1017)","(628, 1044)"
Packagingcorp,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\packagingcorp.png,"(389, 897)","(587, 915)"
Paramount,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\paramount.png,"(41, 785)","(365, 803)"
Parpacific,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\parpacific.png,"(647, 419)","(1111, 458)"
Paypal,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\paypal.png,"(259, 1001)","(355, 1017)"
Pfgc,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\pfgc.png,"(32, 954)","(1870, 984)"
Pfizer,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\pfizer.png,"(31, 55)","(1041, 75)"
Pg,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\pg.png,"(1799, 1047)","(1893, 1063)"
Pgecorp,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\pgecorp.png,"(31, 1031)","(589, 1049)"
Phillips66,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\phillips66.png,"(101, 1031)","(215, 1047)"
Pmi,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\pmi.png,"(661, 151)","(1251, 167)"
Principal,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\principal.png,"(28, 950)","(206, 976)"
Pxd,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\pxd.png,"(190, 995)","(1084, 1019)"
Qualcomm,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\qualcomm.png,"(1105, 127)","(1271, 143)"
Quantaservices,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\quantaservices.png,"(41, 783)","(351, 799)"
Questdiagnostics,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\questdiagnostics.png,"(211, 923)","(1007, 939)"
Raymondjames,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\raymondjames.png,"(381, 1044)","(1177, 1063)"
Regeneron,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\regeneron.png,"(45, 989)","(811, 1007)"
Rgare,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\rgare.png,"(129, 925)","(1063, 939)"
Roberthalf,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\roberthalf.png,"(663, 221)","(755, 235)"
Rossstores,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\rossstores.png,"(31, 1015)","(1015, 1029)"
Saic,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\saic.png,"(260, 1010)","(950, 1036)"
Salesforce,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\salesforce.png,"(534, 190)","(1342, 214)"
Seaboardcorp,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\seaboardcorp.png,"(25, 1033)","(403, 1053)"
Sherwin-williams,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\sherwin-williams.png,"(368, 908)","(1292, 932)"
Sonicautomotive,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\sonicautomotive.png,"(45, 919)","(489, 935)"
Sonoco,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\sonoco.png,"(31, 1031)","(211, 1047)"
Starbucks,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\starbucks.png,"(812, 210)","(1082, 234)"
Statestreet,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\statestreet.png,"(552, 240)","(1304, 266)"
Stonex,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\stonex.png,"(663, 181)","(1037, 195)"
Svb,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\svb.png,"(663, 183)","(1225, 203)"
Ta-petro,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\ta-petro.png,"(31, 993)","(723, 1011)"
Tdsynnex,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\tdsynnex.png,"(31, 933)","(191, 949)"
Textron,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\textron.png,"(189, 1019)","(773, 1039)"
Thehersheycompany,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\thehersheycompany.png,"(129, 944)","(987, 961)"
Theice,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\theice.png,"(31, 19)","(1295, 37)"
Thermofisher,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\thermofisher.png,"(28, 892)","(432, 918)"
Thorindustries,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\thorindustries.png,"(28, 976)","(184, 1000)"
Ti,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\ti.png,"(657, 501)","(1173, 521)"
Tysonfoods,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\tysonfoods.png,"(14, 1014)","(1280, 1039)"
Uber,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\uber.png,"(1347, 787)","(1613, 825)"
Ufpi,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\ufpi.png,"(733, 59)","(1171, 79)"
Ulta,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\ulta.png,"(663, 127)","(1013, 143)"
Unfi,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\unfi.png,"(31, 1009)","(295, 1029)"
Unitedhealthgroup,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\unitedhealthgroup.png,"(31, 21)","(1017, 40)"
Univarsolutions,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\univarsolutions.png,"(18, 42)","(280, 68)"
Unum,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\unum.png,"(45, 898)","(677, 917)"
Us,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\us.png,"(648, 462)","(1032, 488)"
Viatris,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\viatris.png,"(640, 454)","(1202, 484)"
Visa,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\visa.png,"(501, 23)","(1203, 41)"
Vrtx,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\vrtx.png,"(31, 935)","(481, 953)"
Wabteccorp,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\wabteccorp.png,"(573, 985)","(1015, 1001)"
Walgreensbootsalliance,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\walgreensbootsalliance.png,"(465, 1031)","(1103, 1049)"
Watsco,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\watsco.png,"(101, 1035)","(805, 1056)"
Wellsfargo,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\wellsfargo.png,"(298, 618)","(479, 638)"
Westerndigital,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\westerndigital.png,"(504, 302)","(820, 326)"
Westernsouthern,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\westernsouthern.png,"(435, 1043)","(785, 1059)"
Westrock,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\westrock.png,"(31, 1019)","(1039, 1037)"
Williamsf1,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\williamsf1.png,"(1537, 837)","(1719, 857)"
World-kinect,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\world-kinect.png,"(433, 915)","(1103, 931)"
Xpo,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\xpo.png,"(214, 940)","(1690, 972)"
Zoetis,C:\Users\Thomas\Documents\Thesis\Data acqusition\Screenshots\zoetis.png,"(28, 914)","(1046, 944)"
