Name,Image-path,Result,Pattern list
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots_fortune_america/3m,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots_Fortune_america/3m.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots_fortune_america/53,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots_Fortune_america/53.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots_fortune_america/aa,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots_Fortune_america/aa.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots_fortune_america/abbott,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots_Fortune_america/abbott.png,True,['Interference']
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots_fortune_america/abbvie,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots_Fortune_america/abbvie.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots_fortune_america/abm,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots_Fortune_america/abm.png,True,"['Interference', 'Sneaking']"
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots_fortune_america/aboutcoupang,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots_Fortune_america/aboutcoupang.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots_fortune_america/activisionblizzard,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots_Fortune_america/activisionblizzard.png,True,['Interference']
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots_fortune_america/adm,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots_Fortune_america/adm.png,True,['Interference']
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots_fortune_america/adobe,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots_Fortune_america/adobe.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots_fortune_america/adp,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots_Fortune_america/adp.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots_fortune_america/advanceautoparts,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots_Fortune_america/advanceautoparts.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots_fortune_america/aes,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots_Fortune_america/aes.png,True,['Interference']
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots_fortune_america/aflac,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots_Fortune_america/aflac.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots_fortune_america/agcocorp,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots_Fortune_america/agcocorp.png,True,"['Interference', 'Sneaking']"
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots_fortune_america/aig,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots_Fortune_america/aig.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots_fortune_america/airbnb,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots_Fortune_america/airbnb.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots_fortune_america/airproducts,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots_Fortune_america/airproducts.png,True,"['Interference', 'Sneaking']"
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots_fortune_america/ajg,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots_Fortune_america/ajg.png,True,['Interference']
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots_fortune_america/alaskaair,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots_Fortune_america/alaskaair.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots_fortune_america/albemarle,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots_Fortune_america/albemarle.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots_fortune_america/albertsons,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots_Fortune_america/albertsons.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots_fortune_america/alcoa,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots_Fortune_america/alcoa.png,True,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots_fortune_america/allstate,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots_Fortune_america/allstate.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots_fortune_america/ally,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots_Fortune_america/ally.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots_fortune_america/alticeusa,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots_Fortune_america/alticeusa.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots_fortune_america/altria,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots_Fortune_america/altria.png,False,[]
C:/users/thoma/documents/thesis_new/thesis/data acqusition/screenshots_fortune_america/amazon,C:/Users/thoma/Documents/Thesis_new/Thesis/Data acqusition/Screenshots_Fortune_america/amazon.png,False,[]
